Máscara,Tipo,Descrição,Saldo anterior,Tipo Saldo,Débito,Crédito,Saldo atual,Tipo Saldo,Entidade,ID_Entidade
1,Sintética,ATIVO,"1.141.478,01",D,"14.903.842,31","14.908.797,24","1.136.523,08",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1,Sintética,ATIVO CIRCULANTE,"1.141.478,01",D,"14.903.842,31","14.908.797,24","1.136.523,08",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.2001,Sintética,CAIXA E EQUIVALENTES DE CAIXA,"962.717,41",D,"14.833.956,50","14.840.821,41","955.852,50",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.1.1,Sintética,CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL,"962.717,41",D,"14.833.956,50","14.840.821,41","955.852,50",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.1.1.1,Sintética,CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL - CONSOLIDAÇÃO,"962.717,41",D,"14.833.956,50","14.840.821,41","955.852,50",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.1.1.1.01,Sintética,CAIXA,0,D,"3.554.843,57","3.554.843,57",0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.1.1.1.01.00.01,Analitica,CAIXA,0,D,"3.554.843,57","3.554.843,57",0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,2-Destinação de Recursos - 15001001,"1.555.727,76",D,0,0,"1.555.727,76",D,,
,,2-Destinação de Recursos - 15001002,"2.401.548,25",C,0,0,"2.401.548,25",C,,
,,2-Destinação de Recursos - 15017000,"40.035,09",C,0,0,"40.035,09",C,,
,,2-Destinação de Recursos - 15747000,"240.664,87",D,0,0,"240.664,87",D,,
,,2-Destinação de Recursos - 16007000,"255.226,72",C,"3.554.843,57",0,"3.299.616,85",D,,
,,2-Destinação de Recursos - 160070001755,"3.554.843,57",D,0,"3.554.843,57",0,D,,
,,2-Destinação de Recursos - 16017000,"37.045,15",C,0,0,"37.045,15",C,,
,,2-Destinação de Recursos - 16047000,"403.282,86",D,0,0,"403.282,86",D,,
,,2-Destinação de Recursos - 16217000,"426.250,26",C,0,0,"426.250,26",C,,
,,2-Destinação de Recursos - 16313110,"450.000,00",C,0,0,"450.000,00",C,,
,,2-Destinação de Recursos - 16313120,"200.000,00",C,0,0,"200.000,00",C,,
,,2-Destinação de Recursos - 16317000,"51.426,86",C,0,0,"51.426,86",C,,
,,2-Destinação de Recursos - 16327000,"64.065,31",C,0,0,"64.065,31",C,,
,,2-Destinação de Recursos - 17003120,"894.709,00",C,0,0,"894.709,00",C,,
,,2-Destinação de Recursos - 17003210,"925.404,00",C,0,0,"925.404,00",C,,
,,2-Destinação de Recursos - 17007000,"29.061,05",C,0,0,"29.061,05",C,,
,,2-Destinação de Recursos - 17017000,"86.176,20",D,0,0,"86.176,20",D,,
,,2-Destinação de Recursos - 17047000,"131.773,15",D,0,0,"131.773,15",D,,
,,2-Destinação de Recursos - 17103210,"626.351,05",C,0,0,"626.351,05",C,,
,,2-Destinação de Recursos - 17557000,"48.500,00",D,0,0,"48.500,00",D,,
,,2-Destinação de Recursos - 17597000,"82.731,72",D,0,0,"82.731,72",D,,
,,2-Destinação de Recursos - 17997000,"190.000,00",D,0,0,"190.000,00",D,,
,,2-Destinação de Recursos - 18997000,"27.216,15",C,0,0,"27.216,15",C,,
,,2-Destinação de Recursos - 27103210,"134.638,76",D,0,0,"134.638,76",D,,
1.1.1.1.1.19,Sintética,BANCOS CONTA MOVIMENTO - DEMAIS CONTAS,"962.717,41",D,"11.279.112,93","11.285.977,84","955.852,50",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.1.1.1.19.00.02,Sintética,BANCOS CONTA MOVIMENTO - DEMAIS CONTAS,"962.717,41",D,"11.279.112,93","11.285.977,84","955.852,50",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.1.1.1.19.00.02.00.000020,Analitica,BANCO DO BRASIL S/A - CONVÊNIO FNS,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  12.787-6  15001002,"9.869,51",D,0,0,"9.869,51",D,,
,,5-Conta Bancária+FR - 001  13838  12.787-6  16007000,"9.869,51",C,0,0,"9.869,51",C,,
1.1.1.1.1.19.00.02.01,Sintética,BANCO DO BRASIL - MOVIMENTO,"349.269,99",D,"5.372.845,79","5.566.928,43","155.187,35",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.1.1.1.19.00.02.01.000001,Analitica,B.B. S/A - FUNDO MUNICIPAL DE SAÚDE 15%,"349.269,99",D,"5.318.327,46","5.566.427,36","101.170,09",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  9.633-4  15001001,"1.755.778,27",C,"3.941.489,58",0,"2.185.711,31",D,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  15001002,"3.194.636,98",D,"1.358.779,35","5.362.530,31","809.113,98",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  15017000,"40.035,09",D,0,0,"40.035,09",D,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  15747000,"176.626,26",C,0,0,"176.626,26",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  16007000,"595.890,43",C,"2.350,00","8.360,56","601.900,99",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  16047000,"3.483,21",C,0,0,"3.483,21",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  16217000,"16.000,35",C,0,"3.775,13","19.775,48",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  16327000,"204.798,60",D,0,0,"204.798,60",D,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  16617000,"4.574,96",C,0,0,"4.574,96",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  17007000,"347.089,87",C,0,0,"347.089,87",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  17017000,"21.975,00",C,0,0,"21.975,00",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  17047000,"127.279,47",C,0,0,"127.279,47",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  17557000,"48.500,00",C,"13.261,01","191.761,36","227.000,35",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  17597000,"2.154,66",D,"2.447,52",0,"4.602,18",D,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  18997000,"4.842,48",D,0,0,"4.842,48",D,,
1.1.1.1.1.19.00.02.01.000006,Analitica,BANCO DO BRASIL S/A - VIGILÂNCIA SANITÁRIA,0,D,"54.518,33","501,07","54.017,26",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 748  0226  64578-4  15001002,0,D,0,"492,17","492,17",C,,
,,5-Conta Bancária+FR - 748  0226  64578-4  17597000,0,D,"54.518,33","8,9","54.509,43",D,,
1.1.1.1.1.19.00.02.02,Sintética,BANCO DO BRASIL - VINCULADA,"613.447,42",D,"5.906.267,14","5.719.049,41","800.665,15",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.1.1.1.19.00.02.02.000002,Analitica,B.B. S/A - PAB/ESF/EAC/PMAQ,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  9.169-3  15001002,"44.151,32",D,0,0,"44.151,32",D,,
,,5-Conta Bancária+FR - 001  13838  9.169-3  15747000,"160.229,71",D,0,0,"160.229,71",D,,
,,5-Conta Bancária+FR - 001  13838  9.169-3  16007000,"204.466,43",C,0,0,"204.466,43",C,,
,,5-Conta Bancária+FR - 001  13838  9.169-3  16327000,91,C,0,0,91,C,,
,,5-Conta Bancária+FR - 001  13838  9.169-3  17007000,"176,4",D,0,0,"176,4",D,,
